ui_texture_detail|Детализация текстур:
"
ui_auto_adjust|Автонастройка
ui_screen_size|Разрешение экрана:
ui_antialiasing|Сглаживание:
ui_use_desktop_resolution|Как у рабочего стола
ui_play|Играть
ui_check_for_new_version|Проверить на наличие новой версии
ui_configure|Настройки
ui_configure_caption|Настройки
ui_mountandblade_website|Сайт Mount&Blade Warband
ui_current_setting|           Текущий модуль:
ui_manual_activation_text1|1) В веб-браузере, откройте следующий адрес:
ui_manual_activation_text2|2) На открывшейся веб-странице введите серийный номер...
ui_manual_activation_text3|3) ...и этот аппаратный хэш:
ui_manual_activation_text4|4) Страница сообщит вам код активации. Введите или вставьте и нажмите "OK".
ui_activation_code|Код активации:
ui_force_vsync|Вертикальная синхронизация
ui_module_newer_than_application|Для выбранного вами модуля требуется более новая версия игры.
ui_module_older_than_application|Для выбранного вами модуля требуется старая версия игры.
ui_m_low|Низкое
ui_m_high|Высокое
ui_m_ultra_high|Очень высокое
ui_force_single_threading|Включить однопоточный режим
ui_not_enough_memory|Похоже, что сейчас у вас %d МБ свободной физической и виртуальной памяти. Для беспроблемной работы Mount&Blade Warband требуется как минимум 700 МБ свободной физической и виртуальной памяти. Если во время работы Mount&Blade Warband будут наблюдаться падения игры, пожалуйста, закройте другие программы перед запуском игры или увеличьте размер файла подкачки в панели управления Windows.
ui_install|Установить Mount&Blade Warband
DirectXText|"Mount&Blade Warband требует DirectX 9.0c для запуска. Ваш компьютер не соответствует этому требованию. Чтобы исправить эту проблему, вам необходимо загрузить и установить последнюю версию DirectX с сайта Microsoft. Вы желаете перейти на страницу загрузки DirectX?"
NoMountAndBladeText|"Mount&Blade Warband не установлен на этом компьютере. Пожалуйста, скачайте установщик игры с сайта www.taleworlds.com ."
ui_SavegamesText|"Вы желаете оставить файлы сохранений?"
ui_trialmode_online|В настоящее время Mount&&Blade работает в пробном режиме. Вы можете свободно играть до достижения персонажем 7 уровня. Если вы уже приобрели игру, то введите свой серийный номер. Приобретение лицензии онлайн занимает несколько минут и открывает полный режим.
ui_launch_activate|Ввести свой серийный номер
ui_trialmode2_online|После приобретения лицензии, вы получите свой серийный номер.
Приступить к открытию полного режима...
ui_trialmode3_online|Или, если не хотите приобретать игру можете...
ui_trialmode4_online|Если вам хочется узнать больше о нашей политике продаж, то взгляните на:
ui_ondemand_textures|Загрузка текстур по требованию
ui_language|Язык:
ui_steam_not_running|Steam не может быть инициализирован. Steam необходим для того, чтобы запустить игру.
ui_switch_to_turkish_explanation|Хотите ли вы перевода игры на турецкий язык?
ui_switch_to_turkish_yes|Да
ui_switch_to_turkish_no|Нет
ui_new_version_message|Доступна новая версия игры. Посетить страницу загрузки сейчас?
ui_enable_version_check|Включить проверку обновлений
ui_disable|Отключить
ui_yes2|Да
ui_no2|Нет
ui_new_version_message2|Доступна новая версия игры. Посетите онлайн портал для покупки игры и загрузки новой версии.
